n,m,p,seed,algoritmo,dim_cover,tempo_sec,valid
200,50,0.1,999,GreedyHashMap,22,6.8e-05,1
200,50,0.1,999,Randomized,36,0.000608,1
200,50,0.1,17,Greedy,25,0.000299,1
200,50,0.1,17,GreedyHashMap,25,6.4e-05,1
200,50,0.1,17,Randomized,22,0.00052,1
200,50,0.1,53,Greedy,23,0.000249,1
200,50,0.1,53,GreedyHashMap,23,6.3e-05,1
200,50,0.1,53,Randomized,39,0.000546,1
200,50,0.1,77,Greedy,21,0.000254,1
200,50,0.1,77,GreedyHashMap,22,6.1e-05,1
200,50,0.1,77,Randomized,34,0.000575,1
200,50,0.1,101,Greedy,22,0.000243,1
200,50,0.1,101,GreedyHashMap,22,6.4e-05,1
200,50,0.1,101,Randomized,35,0.000585,1
200,50,0.1,200,Greedy,23,0.000254,1
200,50,0.1,200,GreedyHashMap,23,6.4e-05,1
200,50,0.1,200,Randomized,34,0.000547,1
200,50,0.3,42,Greedy,9,0.000325,1
200,50,0.3,42,GreedyHashMap,9,8.2e-05,1
200,50,0.3,42,Randomized,24,0.001084,1
200,50,0.3,123,Greedy,9,0.00034,1
200,50,0.3,123,GreedyHashMap,9,9e-05,1
200,50,0.3,123,Randomized,25,0.001178,1
200,50,0.3,7,Greedy,9,0.000303,1
200,50,0.3,7,GreedyHashMap,8,9.1e-05,1
200,50,0.3,7,Randomized,23,0.001088,1
200,50,0.3,31,Greedy,8,0.000272,1
200,50,0.3,31,GreedyHashMap,8,7.6e-05,1
200,50,0.3,31,Randomized,27,0.001255,1
200,50,0.3,999,Greedy,8,0.000285,1
200,50,0.3,999,GreedyHashMap,9,8.3e-05,1
200,50,0.3,999,Randomized,27,0.001456,1
200,50,0.3,17,Greedy,8,0.000274,1
200,50,0.3,17,GreedyHashMap,8,8.9e-05,1
200,50,0.3,17,Randomized,27,0.001246,1
200,50,0.3,53,Greedy,8,0.000279,1
200,50,0.3,53,GreedyHashMap,8,8.3e-05,1
200,50,0.3,53,Randomized,28,0.001025,1
200,50,0.3,77,Greedy,8,0.000304,1
200,50,0.3,77,GreedyHashMap,8,8.9e-05,1
200,50,0.3,77,Randomized,23,0.001072,1
200,50,0.3,101,Greedy,8,0.000289,1
200,50,0.3,101,GreedyHashMap,8,8.7e-05,1
200,50,0.3,101,Randomized,22,0.00115,1
200,50,0.3,200,Greedy,8,0.000281,1
